"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60","cell61","cell62","cell63","cell64","cell65","cell66","cell67","cell68","cell69","cell70","cell71","cell72","cell73","cell74","cell75","cell76","cell77","cell78","cell79","cell80","cell81","cell82","cell83","cell84","cell85","cell86","cell87","cell88","cell89","cell90","cell91","cell92","cell93","cell94","cell95","cell96","cell97","cell98","cell99","cell100","cell101","cell102","cell103","cell104","cell105","cell106","cell107","cell108","cell109","cell110","cell111","cell112","cell113","cell114","cell115","cell116","cell117","cell118","cell119","cell120","cell121","cell122","cell123","cell124","cell125","cell126","cell127","cell128","cell129","cell130","cell131","cell132","cell133","cell134","cell135","cell136","cell137","cell138","cell139","cell140","cell141","cell142","cell143","cell144","cell145","cell146","cell147","cell148","cell149","cell150","cell151","cell152","cell153","cell154","cell155","cell156","cell157","cell158","cell159","cell160","cell161","cell162","cell163","cell164","cell165","cell166","cell167","cell168","cell169","cell170","cell171","cell172","cell173","cell174","cell175","cell176","cell177","cell178","cell179","cell180","cell181","cell182","cell183","cell184","cell185","cell186","cell187","cell188","cell189","cell190","cell191","cell192","cell193","cell194","cell195","cell196","cell197","cell198","cell199","cell200","cell201","cell202","cell203","cell204","cell205","cell206","cell207","cell208","cell209","cell210","cell211","cell212","cell213","cell214","cell215","cell216","cell217","cell218","cell219","cell220","cell221","cell222","cell223","cell224","cell225","cell226","cell227","cell228","cell229","cell230","cell231","cell232","cell233","cell234","cell235","cell236","cell237","cell238","cell239","cell240","cell241","cell242","cell243","cell244","cell245","cell246","cell247","cell248","cell249","cell250","cell251","cell252","cell253","cell254","cell255","cell256","cell257","cell258","cell259","cell260","cell261","cell262","cell263","cell264","cell265","cell266","cell267","cell268","cell269","cell270","cell271","cell272","cell273","cell274","cell275","cell276","cell277","cell278","cell279","cell280","cell281","cell282","cell283","cell284","cell285","cell286","cell287","cell288","cell289","cell290","cell291","cell292","cell293","cell294","cell295","cell296","cell297","cell298","cell299","cell300","cell301","cell302","cell303","cell304","cell305","cell306","cell307","cell308","cell309","cell310","cell311","cell312","cell313","cell314","cell315","cell316","cell317","cell318","cell319","cell320","cell321","cell322","cell323","cell324","cell325","cell326","cell327","cell328","cell329","cell330","cell331","cell332","cell333","cell334","cell335","cell336","cell337","cell338","cell339","cell340","cell341","cell342","cell343","cell344","cell345","cell346","cell347","cell348","cell349","cell350","cell351","cell352","cell353","cell354","cell355","cell356","cell357","cell358","cell359","cell360","cell361","cell362","cell363","cell364","cell365","cell366","cell367","cell368","cell369","cell370","cell371","cell372","cell373","cell374","cell375","cell376","cell377","cell378","cell379","cell380","cell381","cell382","cell383","cell384","cell385","cell386","cell387","cell388","cell389","cell390","cell391","cell392","cell393","cell394","cell395","cell396","cell397","cell398","cell399","cell400","cell401","cell402","cell403","cell404","cell405","cell406","cell407","cell408","cell409","cell410","cell411","cell412","cell413","cell414","cell415","cell416","cell417","cell418","cell419","cell420","cell421","cell422","cell423","cell424","cell425","cell426","cell427","cell428","cell429","cell430","cell431","cell432","cell433","cell434","cell435","cell436","cell437","cell438","cell439","cell440","cell441","cell442","cell443","cell444","cell445","cell446","cell447","cell448","cell449","cell450","cell451","cell452","cell453","cell454","cell455","cell456","cell457","cell458","cell459","cell460","cell461","cell462","cell463","cell464","cell465","cell466","cell467","cell468","cell469","cell470","cell471","cell472","cell473","cell474","cell475","cell476","cell477","cell478","cell479","cell480","cell481","cell482","cell483","cell484","cell485","cell486","cell487","cell488","cell489","cell490","cell491","cell492","cell493","cell494","cell495","cell496","cell497","cell498","cell499","cell500"
"Burn1_TF1",8,9,8,6,6,10,3,14,7,2,7,15,9,6,4,4,14,11,5,14,5,3,14,11,7,14,12,1,7,8,8,2,16,5,7,6,7,9,3,2,2,6,13,5,5,11,5,10,7,9,2,3,7,3,13,6,11,12,3,2,1,6,5,6,16,14,4,10,6,8,13,4,3,8,10,6,2,9,8,4,6,1,9,3,7,9,11,13,5,8,7,4,5,6,4,5,3,6,6,7,8,12,6,4,15,9,8,3,8,22,11,17,10,10,4,8,11,4,3,11,11,4,13,6,4,16,0,17,9,5,5,0,10,4,4,2,9,8,3,5,7,7,9,5,9,9,9,12,16,6,9,10,2,15,9,7,3,23,5,3,4,9,7,4,4,12,1,2,5,4,8,16,3,15,2,31,5,5,6,8,7,9,3,6,7,15,9,7,10,4,4,4,7,5,7,2,10,9,1,3,5,12,22,5,4,5,9,8,12,6,5,8,8,5,6,11,6,4,7,9,9,12,11,10,6,5,8,2,6,6,7,7,3,9,11,3,6,5,10,11,10,3,4,6,8,9,1,9,4,8,7,3,11,10,11,12,3,3,5,3,7,5,8,17,3,13,3,4,18,8,8,7,11,10,16,4,3,4,2,2,7,15,6,3,6,8,8,9,8,4,3,7,5,6,2,22,1,3,5,5,11,4,10,8,16,1,13,17,2,7,4,8,10,10,8,6,2,6,11,4,6,4,9,13,8,6,16,8,4,3,5,3,11,5,8,5,3,5,14,12,5,2,8,12,3,12,13,5,7,4,1,7,6,5,2,4,9,3,4,9,8,4,10,4,2,9,7,5,11,4,6,2,10,10,8,12,18,13,9,3,2,2,8,16,5,9,4,3,13,4,20,9,9,6,13,7,6,6,5,9,5,11,18,7,11,10,8,8,10,1,2,3,5,6,6,6,2,3,4,7,12,3,11,5,5,10,2,2,15,7,5,6,7,3,6,6,7,4,3,4,14,4,11,5,5,12,4,5,10,12,5,4,7,7,7,8,14,7,6,5,7,7,1,16,17,13,2,6,2,2,3,5,16,5,12,10,1,14,9,10,7,7,5,5,6,8,4,9,6,5,6,9,13,8,11,6,10,12,2,3
"Burn1_TF2",13,17,3,11,9,11,3,14,7,4,4,12,9,4,1,6,14,10,6,9,5,5,9,7,11,7,10,5,7,8,15,5,22,13,11,2,6,6,5,7,8,9,3,6,2,9,8,8,12,4,1,5,6,8,10,2,5,17,1,5,5,3,4,7,17,18,0,11,7,6,11,4,5,9,7,5,6,11,2,4,8,6,11,8,4,9,4,16,2,7,6,5,7,9,7,3,4,5,5,4,15,11,7,8,8,10,3,7,14,19,12,16,10,9,6,5,13,9,8,11,7,4,14,8,5,5,7,14,7,6,11,8,13,9,8,3,8,9,6,7,8,3,11,8,7,2,9,7,11,6,0,9,12,12,13,6,8,10,5,4,3,8,6,15,9,3,4,9,5,9,5,7,4,15,3,18,10,9,17,3,1,6,2,16,18,7,9,12,8,5,6,5,2,8,6,4,11,12,3,5,7,8,16,9,3,6,8,7,13,7,5,8,3,3,9,4,7,3,8,11,5,8,2,8,4,5,7,3,3,5,6,2,3,12,14,7,12,11,3,14,12,1,3,6,9,5,3,4,6,5,1,1,9,4,8,23,4,3,5,7,2,5,11,17,7,2,3,4,12,6,6,9,12,8,11,4,4,5,5,5,4,14,19,3,15,14,21,10,9,6,11,8,9,10,6,29,2,6,8,5,12,6,10,10,14,3,7,14,7,3,7,6,16,5,9,5,7,3,9,4,1,4,11,8,8,5,15,3,7,3,5,3,9,6,4,10,7,3,9,11,6,3,10,9,5,9,8,7,7,9,7,8,11,3,8,4,7,13,6,3,3,5,13,7,5,7,4,11,12,3,10,5,12,10,9,10,19,8,7,4,8,4,8,7,5,6,5,1,12,7,17,13,7,12,6,5,8,13,6,7,12,15,15,5,7,12,9,6,6,6,1,10,6,7,14,12,7,5,2,8,1,5,6,6,6,8,4,4,7,9,6,9,9,5,5,4,6,9,6,8,7,2,13,5,2,9,2,8,13,4,7,5,4,3,8,16,5,2,2,3,18,5,6,13,12,12,7,5,4,6,4,10,15,5,11,13,3,8,2,15,4,1,7,7,5,10,3,5,10,7,8,8,20,9,12,9,13,5,6,8
"Burn1_TF3",17,9,15,11,11,16,14,16,10,6,13,26,18,20,7,12,17,17,11,15,15,16,34,10,6,30,17,10,11,15,10,6,11,12,6,2,12,12,6,12,6,5,11,17,10,15,6,8,11,19,5,6,14,7,12,8,11,20,13,6,11,11,7,23,20,27,9,22,10,10,20,11,10,18,9,9,8,20,7,9,12,12,12,11,7,8,12,22,9,5,11,8,14,8,10,16,7,12,9,7,15,20,20,22,9,10,3,8,22,17,9,22,24,17,11,11,12,13,13,12,16,11,30,11,9,10,4,21,17,9,19,4,9,7,7,11,21,15,1,7,7,12,23,3,1,6,11,18,16,15,11,15,13,11,6,17,8,26,15,14,11,4,12,17,16,14,11,8,11,15,18,17,5,18,18,19,6,9,9,12,7,14,11,10,10,6,11,12,17,14,9,6,27,4,12,27,26,10,9,10,8,12,24,20,7,5,8,19,15,10,15,8,5,10,18,13,9,12,4,14,5,13,9,11,6,12,18,9,12,6,6,16,11,8,10,7,10,13,4,17,23,8,3,18,10,11,12,8,10,3,15,11,18,10,10,14,7,10,8,4,14,8,9,13,11,11,3,9,22,6,11,6,18,15,16,8,23,4,10,7,8,32,5,10,14,8,19,13,11,5,12,14,13,13,13,26,17,13,7,13,14,8,12,17,26,10,6,11,15,10,12,9,18,14,14,10,15,6,12,11,6,10,23,12,7,10,19,10,7,4,14,11,17,10,11,10,7,5,18,15,5,14,10,18,13,23,21,15,9,9,14,17,13,12,9,12,9,8,2,14,13,6,12,5,7,9,2,2,12,15,12,5,21,16,12,12,29,4,12,5,14,12,10,4,16,6,4,15,15,7,21,13,11,13,15,22,16,15,8,22,12,19,14,5,3,15,18,18,13,10,14,7,15,5,6,6,13,18,15,20,18,13,6,6,9,13,13,18,14,22,16,11,10,13,6,12,4,12,13,7,20,6,8,8,10,13,13,9,10,11,12,15,17,3,15,17,9,11,10,22,17,13,9,14,15,17,11,7,14,6,10,12,20,8,24,13,13,25,5,18,7,9,13,4,12,12,9,12,8,14,9,15,21,13,21,16,16,16,11,12
"Burn2_TF1",16,10,10,18,16,14,10,17,20,13,6,15,11,7,18,12,12,19,5,15,14,9,12,8,13,20,31,12,16,15,21,21,14,11,4,12,18,10,11,15,12,14,12,15,20,26,15,18,15,17,20,17,12,12,23,18,19,23,6,10,11,15,15,8,14,12,5,18,10,20,11,12,11,11,8,9,10,14,14,9,10,10,11,11,12,14,8,23,9,9,21,13,9,13,14,12,16,20,19,14,17,19,13,10,16,21,3,11,26,23,19,24,22,31,9,13,28,10,11,11,10,11,23,17,10,8,10,19,11,8,20,14,20,11,6,16,19,14,18,15,0,9,12,16,12,17,21,23,20,17,9,14,22,30,12,28,20,35,26,11,3,8,5,11,19,15,10,14,10,11,18,27,8,20,10,35,14,18,9,13,3,14,6,13,16,12,15,19,17,15,6,9,16,7,12,12,12,10,20,14,11,21,26,16,16,14,16,20,18,6,13,21,16,8,18,14,9,6,8,25,7,16,10,27,10,16,14,6,11,15,17,10,9,15,8,8,19,14,16,27,18,14,21,5,8,10,13,15,7,13,14,14,13,20,8,13,11,12,18,8,9,12,5,21,9,11,25,20,19,19,15,24,15,16,15,17,12,18,12,13,17,37,19,9,21,18,13,14,28,18,13,10,11,8,19,32,8,9,15,7,23,18,24,13,15,25,7,35,14,11,16,6,11,19,21,16,10,15,13,10,17,15,16,12,21,13,20,17,22,12,11,20,18,11,14,16,12,8,31,11,10,9,10,11,8,15,23,10,15,14,13,15,12,6,10,14,15,9,9,14,11,9,20,11,14,14,3,8,21,12,8,8,7,21,11,24,23,14,10,17,13,9,10,8,17,11,17,11,21,12,30,24,18,15,23,16,17,22,12,12,19,25,29,7,9,27,10,13,12,9,5,16,19,14,16,17,19,8,13,11,10,20,11,14,12,14,14,23,12,27,4,12,13,15,11,15,16,22,8,21,19,18,11,7,14,13,16,19,17,8,12,16,20,7,19,22,19,10,12,15,13,15,13,19,12,14,10,13,11,13,12,17,23,16,26,12,11,20,5,20,24,19,12,6,10,9,14,8,20,15,12,18,23,17,15,12,19,25,15,17
"Burn3_TF1",15,11,9,4,21,12,5,11,7,5,6,10,11,7,3,4,12,21,6,18,11,4,20,9,8,10,4,4,11,11,13,4,8,5,5,5,4,7,9,7,4,6,5,14,11,16,3,15,13,10,1,12,3,5,6,2,7,12,5,1,6,7,10,8,20,11,6,8,12,12,5,10,2,10,7,1,3,7,8,1,7,4,15,11,12,9,6,11,3,1,4,5,4,6,11,4,6,6,4,3,11,10,9,6,7,4,11,5,15,24,15,27,16,15,8,7,9,9,14,10,8,10,18,4,8,4,3,14,14,7,14,10,20,7,4,4,13,16,6,13,4,7,8,14,5,7,18,9,23,6,2,10,11,16,9,17,16,20,4,5,13,6,7,17,3,14,5,5,6,16,11,12,6,12,9,19,14,15,13,5,9,6,4,9,9,9,15,7,12,8,5,6,3,8,3,3,13,12,9,10,7,15,31,11,5,6,11,14,16,6,3,10,7,1,6,10,5,1,2,7,7,11,7,8,6,2,24,2,9,8,15,5,2,9,5,4,7,5,6,14,13,5,3,10,8,14,8,3,2,4,6,5,9,6,10,15,7,9,12,9,4,10,13,13,5,5,2,10,11,7,6,7,10,14,16,5,7,11,7,6,8,21,21,9,7,3,14,13,8,14,5,3,5,17,4,20,9,4,4,6,14,13,12,11,16,3,11,16,5,5,5,8,10,7,13,7,5,7,8,7,3,10,11,8,7,5,7,6,2,10,4,12,8,12,7,13,7,6,12,14,4,6,5,13,5,10,11,0,5,7,7,4,1,7,9,5,8,9,8,5,5,9,11,7,6,11,9,6,9,12,9,3,11,13,9,13,27,12,8,5,7,3,5,8,8,10,5,4,3,14,24,17,12,6,10,5,17,12,12,16,17,16,12,8,5,17,8,3,4,8,12,6,5,6,9,9,2,9,6,8,6,7,7,4,15,6,6,6,6,11,6,16,13,9,6,11,10,6,8,7,9,4,12,15,5,12,8,15,8,8,4,6,13,9,3,13,12,4,9,6,13,13,14,11,12,9,5,4,10,1,4,8,20,8,19,13,7,7,6,14,5,5,5,9,10,4,5,12,4,9,4,7,6,14,10,10,9,15,5,5
"Burn3_TF2",7,3,3,2,11,10,2,2,7,8,5,14,12,4,3,13,6,8,2,12,8,4,7,11,8,10,6,4,1,7,17,0,7,4,1,3,7,5,7,3,5,3,8,5,3,12,4,2,7,12,4,4,2,4,12,0,7,9,3,2,1,9,4,6,8,11,6,4,5,8,9,10,6,4,7,6,1,9,3,10,4,5,15,9,7,12,6,7,6,8,2,2,3,6,6,3,0,8,7,7,6,5,11,5,2,0,7,1,11,18,2,14,14,2,9,2,5,0,6,11,6,2,17,1,8,12,4,14,10,4,10,7,12,3,3,9,11,6,4,6,5,3,8,9,5,5,7,8,18,3,4,11,12,4,4,11,6,16,6,0,4,5,1,6,4,8,1,2,4,9,9,12,2,11,4,18,6,21,16,5,3,6,4,6,11,9,15,9,8,2,1,3,6,3,4,8,9,7,4,6,10,15,20,8,1,5,5,9,17,6,3,10,6,2,7,15,2,6,6,10,2,7,7,7,2,4,9,5,6,4,6,2,1,6,4,4,12,2,6,7,5,3,5,5,5,9,3,1,5,2,5,3,6,8,6,10,2,4,2,1,2,0,1,12,3,2,1,4,11,4,5,5,5,3,11,2,1,1,3,3,8,16,10,3,7,5,7,3,13,3,6,2,2,1,5,19,0,5,8,4,5,5,6,7,10,4,8,11,3,5,3,7,8,6,8,6,1,2,5,3,10,11,4,7,6,6,10,9,5,5,1,6,13,10,4,9,5,5,9,3,3,4,5,10,4,9,13,4,6,4,3,9,4,3,2,3,2,4,5,10,4,4,11,6,10,7,5,8,6,5,3,1,8,15,11,6,13,9,4,2,5,2,12,11,7,6,5,6,7,8,25,13,4,3,12,6,6,8,7,4,12,10,11,3,5,12,7,6,8,5,2,5,6,3,3,6,5,6,5,8,3,3,11,3,1,5,9,4,8,1,3,7,5,7,8,12,1,9,3,2,12,2,4,2,4,6,1,8,9,4,12,11,7,4,8,9,8,4,3,3,8,1,1,15,10,14,2,3,5,4,8,9,13,3,12,14,4,3,2,9,7,3,5,5,1,9,2,3,3,6,4,12,7,8,7,5,15,13,3,5
"Burn4_TF1",5,10,7,10,14,7,9,10,6,4,3,18,10,4,4,9,11,19,11,7,6,3,8,11,8,11,6,2,6,7,15,2,16,12,12,1,5,3,4,9,5,6,11,12,8,13,5,10,11,12,6,11,9,8,13,8,5,9,3,2,2,3,7,10,8,16,9,6,11,15,14,10,3,10,6,7,3,12,5,8,6,9,9,7,6,5,1,11,8,4,6,5,6,7,3,6,8,15,9,6,13,11,10,6,7,8,6,8,12,12,8,21,14,9,8,6,13,8,8,10,9,4,17,8,8,10,6,15,7,5,19,5,5,11,2,7,22,4,2,3,7,9,13,5,12,15,3,12,13,6,3,16,10,10,4,13,11,23,11,7,3,10,3,8,4,12,6,5,6,12,11,18,9,9,1,18,12,17,19,4,2,9,8,9,14,11,6,13,15,6,5,6,4,10,5,4,10,15,9,5,9,14,18,10,6,5,6,10,11,3,4,2,6,5,8,13,10,5,3,9,4,12,6,11,9,5,14,8,3,7,9,5,0,9,9,4,6,6,6,15,10,6,4,7,6,9,4,5,4,9,7,6,8,7,6,11,7,7,13,7,3,4,13,18,7,2,7,2,15,6,6,5,8,4,11,9,5,3,6,2,13,11,18,9,13,12,17,9,13,6,8,7,8,7,0,18,8,2,11,5,9,4,11,14,14,6,14,12,6,14,8,6,14,4,13,5,6,3,11,6,6,4,14,6,11,8,10,8,2,9,8,8,7,3,6,8,3,4,8,13,5,6,4,12,5,17,11,10,4,5,6,11,10,4,4,3,5,12,9,19,4,12,12,7,5,7,3,12,15,8,6,8,22,15,20,15,22,15,4,2,7,6,12,7,8,6,3,3,15,6,21,12,8,7,13,11,10,5,6,8,10,21,14,11,8,6,2,10,13,8,6,6,4,12,3,17,9,5,6,6,12,3,7,14,8,18,7,7,15,4,9,7,11,3,5,7,6,6,9,10,14,5,15,5,4,8,5,6,6,3,7,6,18,4,6,11,15,9,7,8,14,6,9,13,14,13,14,3,5,5,8,3,4,8,19,14,7,11,8,9,11,6,7,5,10,9,4,13,7,9,3,9,13,8,17,7,19,10,3,7
"Burn5_TF1",3,6,5,10,10,9,9,13,3,2,4,2,9,3,11,5,11,9,4,11,6,4,13,7,5,9,1,4,4,2,6,1,9,3,11,2,4,2,0,1,1,3,8,3,3,7,6,5,8,5,1,6,7,6,8,2,9,9,2,4,2,8,3,7,15,12,6,3,3,11,2,6,4,5,5,1,2,6,1,7,6,9,11,5,4,6,3,6,1,2,1,8,3,8,2,1,3,5,2,4,2,6,8,2,5,5,1,6,17,12,1,8,7,5,3,2,9,3,10,6,3,4,15,1,3,6,0,10,7,0,7,3,4,6,3,4,10,3,5,5,5,5,2,4,7,2,3,12,15,4,4,13,3,5,3,13,3,6,4,0,3,2,3,3,2,13,2,2,4,5,6,11,5,8,0,20,7,7,7,3,5,4,7,4,9,7,10,14,14,2,0,5,6,2,6,1,12,4,6,6,4,9,7,8,1,6,4,10,11,2,5,1,4,1,8,5,3,4,2,8,2,6,6,7,5,1,12,4,1,6,3,4,1,4,4,3,6,1,3,11,4,6,9,7,5,6,2,3,3,5,9,3,7,4,3,20,1,3,6,8,3,3,6,8,8,5,1,3,10,4,4,7,5,8,11,4,5,2,4,1,2,11,4,2,4,6,11,5,6,2,3,2,2,3,7,18,3,4,7,7,7,1,6,3,9,3,8,8,0,5,6,3,7,7,8,4,7,4,6,0,3,4,3,3,8,4,7,3,2,6,3,1,11,4,4,7,2,9,5,5,6,3,6,12,3,18,4,2,11,2,4,9,0,1,7,3,3,3,3,7,3,4,7,5,7,7,4,9,5,1,5,3,4,6,13,6,15,3,4,2,4,0,4,6,8,2,8,3,7,1,13,8,7,13,11,6,5,8,3,6,9,9,11,3,6,6,5,5,7,5,2,7,7,7,7,5,3,8,4,4,3,4,6,8,3,1,8,2,3,6,6,3,6,3,3,7,4,4,4,6,7,7,4,3,5,7,6,6,12,3,5,7,2,3,12,8,9,0,2,1,5,6,4,10,9,9,2,4,5,3,4,6,9,4,10,7,6,3,5,9,6,5,7,4,4,1,4,9,2,9,3,14,8,11,11,2,9,14,2,8
"A1_TF1",6,9,4,7,12,18,5,11,5,8,2,9,8,6,1,5,7,8,5,10,8,7,10,7,10,9,8,8,10,7,5,1,9,4,2,2,3,5,6,5,5,6,7,10,4,9,1,6,8,9,0,6,10,3,11,3,4,5,2,5,3,4,10,14,13,12,5,16,5,7,7,9,1,7,5,4,3,10,4,0,7,4,12,12,5,7,4,19,2,5,3,2,2,5,6,5,5,6,2,5,9,13,10,4,9,5,5,5,11,13,9,11,12,10,6,1,9,2,8,9,5,1,12,2,9,2,2,9,6,6,6,0,10,7,9,3,9,9,5,2,6,7,8,4,3,6,7,10,16,5,2,11,10,12,5,13,3,14,3,0,4,8,5,12,8,14,2,10,5,10,6,10,7,8,5,23,8,13,4,4,3,9,10,8,8,10,10,10,16,4,7,3,6,8,4,0,11,10,3,7,9,18,15,9,3,9,10,4,16,8,8,6,10,0,8,9,7,5,7,12,6,10,9,5,2,3,14,0,2,4,1,5,9,7,7,0,7,3,7,7,7,4,5,5,7,5,5,5,8,1,2,7,5,13,6,15,3,5,4,6,2,11,7,14,5,4,3,8,12,4,2,10,19,9,8,6,6,1,7,7,6,10,8,6,7,10,7,13,8,3,2,4,6,6,5,19,3,4,7,2,16,2,4,4,10,5,10,7,2,3,9,9,8,7,11,6,6,2,7,6,3,6,10,4,6,5,18,3,2,3,3,0,8,0,0,11,3,3,14,12,4,6,10,5,6,5,13,1,7,6,5,7,6,2,11,1,2,4,7,2,5,4,10,9,8,6,0,5,6,2,6,2,11,18,9,10,21,2,4,0,13,0,2,4,15,4,3,1,11,4,24,5,3,12,14,15,7,6,7,8,5,11,12,5,3,11,14,7,17,6,3,6,5,6,4,7,1,9,2,11,7,7,6,2,11,6,7,3,14,8,3,2,13,5,4,8,4,2,5,7,11,5,7,5,5,5,1,8,11,5,6,12,6,9,8,9,11,4,4,9,8,2,4,9,7,15,0,3,2,4,3,6,14,2,20,13,3,10,7,19,3,2,5,7,8,10,3,7,3,8,3,7,12,12,7,6,12,11,4,8
"A1_TF2",10,12,3,4,9,11,8,7,7,3,2,7,11,3,4,6,13,14,5,7,8,2,7,9,7,11,6,8,1,4,8,2,12,3,3,1,4,4,6,10,5,1,2,5,2,12,6,7,5,6,0,1,7,6,7,5,4,10,6,2,2,7,4,9,11,7,3,8,1,9,6,7,5,7,7,5,4,4,3,8,9,11,5,4,5,5,5,4,2,7,8,3,9,8,5,4,6,11,4,4,6,9,7,6,4,4,3,4,10,11,7,11,7,8,4,4,16,3,9,5,13,5,10,2,4,10,2,13,7,7,12,4,10,8,4,2,9,4,2,9,7,10,10,9,5,1,3,11,6,6,2,8,6,6,5,11,10,13,4,0,3,4,3,4,1,13,7,3,3,15,9,8,7,9,4,21,7,11,8,2,7,11,4,6,14,6,9,7,8,5,5,2,4,2,6,0,14,8,5,5,8,11,21,8,9,9,6,13,9,3,2,4,5,0,8,13,0,2,4,8,8,13,5,3,3,1,9,0,4,4,9,8,2,8,7,0,6,5,5,7,9,3,8,3,4,1,2,3,9,3,6,3,8,6,9,6,1,4,6,3,2,6,6,19,3,7,6,4,14,5,4,7,8,7,6,3,6,2,5,3,6,19,9,4,4,7,17,4,10,1,3,8,8,10,6,25,1,8,9,8,5,3,7,6,11,2,10,7,7,2,5,7,12,9,11,4,3,1,5,5,4,5,14,8,10,3,10,5,2,6,3,2,8,6,0,5,8,3,5,5,6,7,12,11,1,3,11,2,7,2,3,8,7,5,6,3,4,4,6,2,3,3,6,5,4,10,6,5,11,5,4,1,7,11,11,10,26,11,4,0,8,0,6,0,6,3,8,0,4,5,17,6,7,5,11,10,7,11,7,10,7,14,7,2,2,10,5,6,7,5,1,2,10,2,3,11,0,6,2,4,9,4,12,3,5,10,2,4,9,6,4,4,6,8,5,10,5,3,4,5,11,9,5,2,3,6,1,8,8,5,5,4,6,3,4,9,6,3,4,3,8,2,0,10,6,15,0,1,8,3,6,3,11,5,14,7,5,3,6,16,4,7,3,4,6,7,5,4,6,4,1,11,9,8,8,6,14,14,2,4
