run_name,Method,Params,n_neighbors,hidden_feats,k,n_gcn_layers,correlation,moran_I
simulated_non_linear_base,ONTraC,base,50,4,6,2,0.9928840675362701,0.9765958087300881
simulated_non_linear_n_neighbors_10,ONTraC,n_neighbors,10,4,6,2,0.9694295417181669,0.9752052072444877
simulated_non_linear_n_neighbors_20,ONTraC,n_neighbors,20,4,6,2,0.9914621098484394,0.9750341936858595
simulated_non_linear_n_neighbors_100,ONTraC,n_neighbors,100,4,6,2,0.9954060936243745,0.9770899782263063
simulated_non_linear_hidden_feats_2,ONTraC,hidden_feats,50,2,6,2,0.9953740294961179,0.9750968797393832
simulated_non_linear_hidden_feats_8,ONTraC,hidden_feats,50,8,6,2,0.9931555566222263,0.975183777141274
simulated_non_linear_hidden_feats_16,ONTraC,hidden_feats,50,16,6,2,0.992880515522062,0.9752820927606571
simulated_non_linear_k_4,ONTraC,k,50,4,4,2,0.9952657410629643,0.9772963780087344
simulated_non_linear_k_8,ONTraC,k,50,4,8,2,0.9934550778203112,0.9782233557389038
simulated_non_linear_k_10,ONTraC,k,50,4,10,2,0.9929215076860306,0.9755596337610883
simulated_non_linear_n_gcn_layers_1,ONTraC,n_gcn_layers,50,4,6,1,0.9935720062880252,0.9753026245087764
simulated_non_linear_n_gcn_layers_3,ONTraC,n_gcn_layers,50,4,6,3,0.9932782354346306,0.9745831223859792
simulated_non_linear_n_gcn_layers_4,ONTraC,n_gcn_layers,50,4,6,4,0.9917838071352285,0.9758143668316467
simulated_non_linear_n_gcn_layers_5,ONTraC,n_gcn_layers,50,4,6,5,0.9926225624902499,0.9759977044847868
simulated_non_linear_n_gcn_layers_6,ONTraC,n_gcn_layers,50,4,6,6,0.993314245256981,0.9753369816655263
