Cell_ID,x,y,Cell_Type,Sample
cell1,0.189955476671457,0.723418744746596,I,simulated
cell2,0.898616216611117,0.886212989107462,A,simulated
cell3,0.177252476103604,0.572594454512,I,simulated
cell4,0.977316231233999,0.253593610133976,G,simulated
cell5,0.961118912324309,0.982235771127399,A,simulated
cell6,0.236122898757458,0.807441284414381,I,simulated
cell7,0.0989451676141471,0.94226708827267,A,simulated
cell8,0.613674549618736,0.810628392035142,I,simulated
cell9,0.107474596938118,0.986525008494361,A,simulated
cell10,0.856492726132274,0.907701961877939,A,simulated
cell11,0.597446994856,0.967399357981474,A,simulated
cell12,0.496958099771291,0.916660540899807,A,simulated
cell13,0.739995617419481,0.985150260850787,G,simulated
cell14,0.209884332027286,0.906020652314883,A,simulated
cell15,0.0641931511927396,0.986569726308888,A,simulated
cell16,0.95181561820209,0.0019500681664794,G,simulated
cell17,0.174905938329175,0.958004680229351,I,simulated
cell18,0.770065199583769,0.942126719399714,A,simulated
cell19,0.0782829422969371,0.134349304949865,I,simulated
cell20,0.628031634259969,0.96715765632689,I,simulated
cell21,0.695999762509018,0.0735261484514922,I,simulated
cell22,0.870156836695969,0.891184555701533,A,simulated
cell23,0.800668760435656,0.820057949686132,A,simulated
cell24,0.419296362670138,0.313405842753127,G,simulated
cell25,0.744650758802891,0.401667814236134,G,simulated
cell26,0.153703361749649,0.687704513780773,I,simulated
cell27,0.0013843725901097,0.168915214948356,I,simulated
cell28,0.939388230675831,0.398638701299205,G,simulated
cell29,0.48198966239579,0.924388101091608,I,simulated
cell30,0.868172329850495,0.836184014566243,I,simulated
cell31,0.86707526142709,0.539739719592035,I,simulated
cell32,0.422941256780177,0.978642037145878,A,simulated
cell33,0.751889529172331,0.789822674610918,A,simulated
cell34,0.899344372795895,0.785441297106445,I,simulated
cell35,0.046409372240305,0.99924326816936,A,simulated
cell36,0.836944420356303,0.963067141552972,A,simulated
cell37,0.983920954633504,0.948866644157954,A,simulated
cell38,0.587535791564733,0.729949400443836,A,simulated
cell39,0.956671577645466,0.94697452788751,A,simulated
cell40,0.330721317091957,0.402245702687651,I,simulated
cell41,0.199793685926124,0.80203578661987,A,simulated
