Cell_ID,x,y,Ground_Truth,Cell_Type,Lineage,Sample
cell1,0.189955476671457,0.723418744746596,0.3400232413704661,I,3,simulated
cell2,0.898616216611117,0.886212989107462,0.2352947638541108,A,1,simulated
cell3,0.177252476103604,0.572594454512,0.4814235603281052,I,3,simulated
cell4,0.977316231233999,0.253593610133976,0.7934620850733033,G,2,simulated
cell5,0.961118912324309,0.982235771127399,0.1899959232666276,A,1,simulated
cell6,0.236122898757458,0.807441284414381,0.2451217378828598,I,3,simulated
cell7,0.0989451676141471,0.94226708827267,0.1882920582339433,A,1,simulated
cell8,0.613674549618736,0.810628392035142,0.1997128411880557,I,3,simulated
cell9,0.107474596938118,0.986525008494361,0.1451820813122133,A,1,simulated
cell10,0.856492726132274,0.907701961877939,0.1946478750013299,A,1,simulated
cell11,0.597446994856,0.967399357981474,0.0417005736468587,A,1,simulated
cell12,0.496958099771291,0.916660540899807,0.0833479410256105,A,1,simulated
cell13,0.739995617419481,0.985150260850787,0.0685020609228801,G,2,simulated
cell14,0.209884332027286,0.906020652314883,0.1643164124389895,A,1,simulated
cell15,0.0641931511927396,0.986569726308888,0.1708993736597658,A,1,simulated
cell16,0.95181561820209,0.0019500681664794,0.998380526804636,G,2,simulated
cell17,0.174905938329175,0.958004680229351,0.1335654505998043,I,3,simulated
cell18,0.770065199583769,0.942126719399714,0.1219164877434465,A,1,simulated
cell19,0.0782829422969371,0.134349304949865,0.8859363724582823,I,3,simulated
cell20,0.628031634259969,0.96715765632689,0.0484404031424919,I,3,simulated
cell21,0.695999762509018,0.0735261484514922,0.929193930906994,I,3,simulated
cell22,0.870156836695969,0.891184555701533,0.2162076082862932,A,1,simulated
cell23,0.800668760435656,0.820057949686132,0.2479304213736561,A,1,simulated
cell24,0.419296362670138,0.313405842753127,0.6886221849567132,G,2,simulated
cell25,0.744650758802891,0.401667814236134,0.6210158978573064,G,2,simulated
cell26,0.153703361749649,0.687704513780773,0.3859349974722517,I,3,simulated
cell27,0.0013843725901097,0.168915214948356,0.8647182111336396,I,3,simulated
cell28,0.939388230675831,0.398638701299205,0.6658692544617977,G,2,simulated
cell29,0.48198966239579,0.924388101091608,0.0759116475362911,I,3,simulated
cell30,0.868172329850495,0.836184014566243,0.2636313874338614,I,3,simulated
cell31,0.86707526142709,0.539739719592035,0.5243512176805176,I,3,simulated
cell32,0.422941256780177,0.978642037145878,0.0271348844625913,A,1,simulated
cell33,0.751889529172331,0.789822674610918,0.2573003796369264,A,1,simulated
cell34,0.899344372795895,0.785441297106445,0.3225893888072905,I,3,simulated
cell35,0.046409372240305,0.99924326816936,0.1712644732654015,A,1,simulated
cell36,0.836944420356303,0.963067141552972,0.135123609099323,A,1,simulated
cell37,0.983920954633504,0.948866644157954,0.2311761363805951,A,1,simulated
cell38,0.587535791564733,0.729949400443836,0.2756013152030448,A,1,simulated
cell39,0.956671577645466,0.94697452788751,0.2164367494650434,A,1,simulated
cell40,0.330721317091957,0.402245702687651,0.6089596646745399,I,3,simulated
cell41,0.199793685926124,0.80203578661987,0.264270935278138,A,1,simulated
cell42,0.739940842380747,0.974150539110279,0.0788798300876248,A,1,simulated
cell43,0.0731167837511748,0.0899354654829949,0.9239272220875492,G,2,simulated
cell44,0.225708568003029,0.537259250180796,0.5003335497721756,G,2,simulated
cell45,0.40318181971088,0.763386996909828,0.2437023557222862,A,1,simulated
cell46,0.225816204678267,0.0380604495294392,0.9646007510845086,I,3,simulated
cell47,0.0586790593806654,0.399696880951524,0.6654596027331716,G,2,simulated
cell48,0.695229208795354,0.74867528444156,0.2788123806651705,I,3,simulated
cell49,0.0518122548237443,0.543484546244144,0.5474251786443723,G,2,simulated
cell50,0.50330573413521,0.675641779322177,0.3243656039281926,G,2,simulated
cell51,0.751078722300008,0.798436960633354,0.2489120198030766,A,1,simulated
cell52,0.381117488956079,0.776661284014315,0.2341623390367243,A,1,simulated
cell53,0.63977298582904,0.853663746944087,0.1626942661161851,A,1,simulated
cell54,0.61194141372107,0.949039782577813,0.0627053443756895,A,1,simulated
cell55,0.766890639904886,0.773938023252413,0.2775243599491936,I,3,simulated
cell56,0.139118795050308,0.971240650995192,0.14067389414965,A,1,simulated
cell57,0.599589780205861,0.90081217190614,0.1080344532767131,A,1,simulated
cell58,0.863226311281323,0.968983953841811,0.143956708143241,A,1,simulated
cell59,0.24228045460768,0.827651935227594,0.2238963740650343,A,1,simulated
cell60,0.316467522410676,0.973853663646246,0.0578808386557032,A,1,simulated
cell61,0.31997722084634,0.956032013713996,0.0739786716389716,A,1,simulated
cell62,0.840434855315834,0.893076969807119,0.1996771587394605,A,1,simulated
cell63,0.234242759412155,0.932080665439448,0.1294066533090729,A,1,simulated
cell64,0.983195072505623,0.989143126428336,0.1980857826792154,A,1,simulated
cell65,0.548510420136154,0.841561711403032,0.1604140533453361,A,1,simulated
cell66,0.601130515569821,0.735988076544069,0.2714629495739667,A,1,simulated
cell67,0.426001359941438,0.928772375228739,0.0762856983714783,A,1,simulated
cell68,0.914556670002639,0.571238851640373,0.5125354559175488,G,2,simulated
cell69,0.109416362596676,0.932563706632991,0.1908731131150869,A,1,simulated
cell70,0.0566452061757445,0.0852985337842256,0.928713740896992,I,3,simulated
cell71,0.870258528040722,0.10119736706838,0.9110033115516718,I,3,simulated
cell72,0.724630123237148,0.862463722157745,0.1789646480075674,A,1,simulated
cell73,0.930577131453902,0.924334390705953,0.220231997342442,A,1,simulated
cell74,0.817721075145528,0.962998730596155,0.1252993930605657,G,2,simulated
cell75,0.878979620989412,0.774004327366129,0.3232012652647148,G,2,simulated
cell76,0.655947184888646,0.788695971341104,0.2300293487566055,A,1,simulated
cell77,0.971817688783631,0.967217293199045,0.2088926434305039,A,1,simulated
cell78,0.043944877339527,0.925884262050905,0.233530809674284,A,1,simulated
cell79,0.825680845649913,0.844467108736288,0.2365143023389778,A,1,simulated
cell80,0.694084441754967,0.932563363975186,0.1012899390836751,A,1,simulated
cell81,0.915855241008103,0.946906788211585,0.1927035012257837,A,1,simulated
cell82,0.668266115710139,0.603194599039853,0.4134137036708368,G,2,simulated
cell83,0.562801539199427,0.664317105896771,0.3382926897866474,I,3,simulated
cell84,0.906564037082717,0.865994684631005,0.2568446678616067,I,3,simulated
cell85,0.822954488452524,0.849165592794559,0.2310369472602597,A,1,simulated
cell86,0.745120409643278,0.279497386189178,0.7363441178478658,G,2,simulated
cell87,0.26812951057218,0.905631274687619,0.1405747965219811,A,1,simulated
cell88,0.141195051139221,0.251730399206281,0.7769812550970279,I,3,simulated
cell89,0.237212987616658,0.97072934269999,0.0919760778901287,A,1,simulated
cell90,0.53046244266443,0.862129816733125,0.1386694639069493,A,1,simulated
cell91,0.311502205906436,0.945711380853877,0.0867381094674459,A,1,simulated
cell92,0.855276504531503,0.707867695757252,0.3714666591258164,B,1,simulated
cell93,0.296765538631007,0.693095687484055,0.3343965608948472,B,1,simulated
cell94,0.160661967005581,0.803879058281525,0.279129407199482,B,1,simulated
cell95,0.943493204424158,0.872020553565744,0.2713039247343911,B,1,simulated
cell96,0.0465419623069465,0.886952820381837,0.2643206512400735,B,1,simulated
cell97,0.895678107626736,0.776149987016388,0.3289157455726563,B,1,simulated
cell98,0.364904565736651,0.561549035832286,0.4485159757595786,I,3,simulated
cell99,0.193719878327101,0.244166888296604,0.7767734401072897,I,3,simulated
cell100,0.449366169748828,0.674883346625963,0.3268424843576948,B,1,simulated
cell101,0.276630940847099,0.638961183838546,0.391403947302539,I,3,simulated
cell102,0.46314708259888,0.592016964111489,0.4087859858240887,B,1,simulated
cell103,0.409131681546569,0.442825099686161,0.5608013858015297,G,2,simulated
cell104,0.639614581596106,0.599548768581448,0.4119143333132552,B,1,simulated
cell105,0.663891836302355,0.36750832083635,0.6421049318134542,I,3,simulated
cell106,0.123055695323274,0.694961646223364,0.3914985103136813,B,1,simulated
cell107,0.0974813806824386,0.74275563927865,0.3608071742445278,B,1,simulated
cell108,0.109827279811725,0.428422385361046,0.62818133650812,G,2,simulated
cell109,0.131596297957003,0.7590937707462,0.3316196685037748,B,1,simulated
cell110,0.99658119212836,0.943371671715226,0.2432399650550151,B,1,simulated
cell111,0.509323557838798,0.58407180046331,0.4159789677437691,B,1,simulated
cell112,0.48760827886872,0.577555392331104,0.4225332804281519,B,1,simulated
cell113,0.592154663987458,0.59523109456253,0.4097813269502678,B,1,simulated
cell114,0.36678327457048,0.689086183905602,0.3229295789822171,I,3,simulated
cell115,0.192691229749471,0.507889571134001,0.5359360188116145,G,2,simulated
cell116,0.621719111222774,0.656214146344186,0.3533660855971107,B,1,simulated
cell117,0.268764449283481,0.497764551546425,0.5274999684029824,I,3,simulated
cell118,0.991863803006709,0.924712221897922,0.255423235310689,B,1,simulated
cell119,0.963902115589008,0.900482898534276,0.2589869442179032,B,1,simulated
cell120,0.42418634146452,0.0680525952484459,0.9323363160400082,I,3,simulated
cell121,0.908190547954291,0.976845595287159,0.1626699402326191,G,2,simulated
cell122,0.158887076191604,0.78513245473996,0.2967019218752151,B,1,simulated
cell123,0.578494378598407,0.605736007177957,0.3979733005450694,B,1,simulated
cell124,0.161690819310024,0.804762535413097,0.2778856874665686,B,1,simulated
cell125,0.945985393365845,0.791430767493605,0.3398708764810968,B,1,simulated
cell126,0.731950487941504,0.496381695615128,0.5289607031852542,I,3,simulated
cell127,0.635779914213344,0.684907552060613,0.3274909492823863,B,1,simulated
cell128,0.548915500985458,0.566926898524335,0.4344263643524412,B,1,simulated
cell129,0.878702299436554,0.722685854649171,0.3679586310647987,I,3,simulated
cell130,0.548134036827832,0.619501680183887,0.3819303165046231,B,1,simulated
cell131,0.152230446925387,0.792237806458684,0.2932402998623014,B,1,simulated
cell132,0.617354971822351,0.738436039537191,0.2715956826889169,I,3,simulated
cell133,0.184966050088406,0.742921852719682,0.3241534748254981,B,1,simulated
cell134,0.995693943463266,0.17525745369494,0.8593114737768134,G,2,simulated
cell135,0.553130969870836,0.653464949004252,0.3483745245240234,B,1,simulated
cell136,0.724295801948756,0.655119816351765,0.3762596896494058,B,1,simulated
cell137,0.845413113478571,0.719493386550926,0.3571993051063753,B,1,simulated
cell138,0.986170103074983,0.0043019349686801,0.9965204873946132,G,2,simulated
cell139,0.192052271217108,0.695418870996523,0.3648167063925821,B,1,simulated
cell140,0.0123126972466707,0.79711041984554,0.356046722676145,B,1,simulated
cell141,0.982231405563653,0.824383783907933,0.3311543511498463,B,1,simulated
cell142,0.614407927729189,0.615816238126567,0.3921401452358565,B,1,simulated
cell143,0.596418036380783,0.751377262407914,0.2555435308077193,G,2,simulated
cell144,0.602541690925136,0.896756738889962,0.1125743627608856,I,3,simulated
cell145,0.389566439203918,0.658023052209691,0.3499052250031119,B,1,simulated
cell146,0.208200696157292,0.641995594044826,0.4083790560931108,B,1,simulated
cell147,0.96754464530386,0.851935125435549,0.3008891129931298,B,1,simulated
cell148,0.0090325952041894,0.838209076151298,0.3245963042811027,B,1,simulated
cell149,0.724070019554347,0.73444216117519,0.3006693919759083,B,1,simulated
cell150,0.977958403062075,0.0237196020316333,0.9806913481664716,G,2,simulated
cell151,0.911733107408509,0.759345264555748,0.3507228872285967,B,1,simulated
cell152,0.108706517610699,0.664700229652226,0.423558992706026,I,3,simulated
cell153,0.82695701206103,0.805315735595989,0.2724590389992084,B,1,simulated
cell154,0.151250727241859,0.416975896107033,0.6282398272084173,I,3,simulated
cell155,0.755960913607851,0.73695518122986,0.308358402282174,G,2,simulated
cell156,0.484952019294724,0.191461645532399,0.8085816995574255,I,3,simulated
cell157,0.603717135731131,0.619668832170829,0.3869261529417507,B,1,simulated
cell158,0.578817426925525,0.597902800582232,0.4057885519242835,B,1,simulated
cell159,0.622533896472305,0.607384865127781,0.4015998473458096,B,1,simulated
cell160,0.0542276876512915,0.787452361612377,0.3430851325292724,B,1,simulated
cell161,0.328347969334573,0.674390666387787,0.3449111464880497,B,1,simulated
cell162,0.540650926297531,0.448421583743766,0.5523182094342047,G,2,simulated
cell163,0.326104212319478,0.621486487437165,0.3967554732093596,B,1,simulated
cell164,0.840880275936797,0.413618489867076,0.6294403098992569,G,2,simulated
cell165,0.687812265008688,0.70851705070814,0.3156232753403171,B,1,simulated
cell166,0.435118762310594,0.540377019904554,0.4618882020694307,I,3,simulated
cell167,0.345290561206639,0.671426466519412,0.344268474399385,B,1,simulated
cell168,0.839260120876133,0.434727954678237,0.6101435236671692,I,3,simulated
cell169,0.964030562900007,0.786446375790582,0.3528917879571698,B,1,simulated
cell170,0.286662196274847,0.408927438082173,0.6088738917191695,G,2,simulated
cell171,0.0985625479370356,0.775196898424846,0.3323898337289451,B,1,simulated
cell172,0.520089247729629,0.271649136440828,0.7284604509131923,I,3,simulated
cell173,0.29906268347986,0.479947936255485,0.5386782988701713,I,3,simulated
cell174,0.0390911479480565,0.116447958163917,0.9039554541350412,I,3,simulated
cell175,0.88526805001311,0.607013378408104,0.4714413579964462,C,1,simulated
cell176,0.545232744654641,0.46917633393181,0.5317816413866208,C,1,simulated
cell177,0.556426203809679,0.499069440164419,0.5025145120773336,C,1,simulated
cell178,0.200551702640951,0.548681729145843,0.4964694905041538,C,1,simulated
cell179,0.648023285204545,0.783467293251306,0.2333311068053489,I,3,simulated
cell180,0.951930950162932,0.648441883767933,0.4615350503281543,C,1,simulated
cell181,0.765050170943141,0.476664790878855,0.5546236100517057,C,1,simulated
cell182,0.418000930454582,0.806449778843671,0.1989364502277579,G,2,simulated
cell183,0.163818698842078,0.545284827063985,0.5100843902783714,C,1,simulated
cell184,0.0128300655633211,0.181274769129232,0.853495750313475,I,3,simulated
cell185,0.503105229698122,0.70167957036756,0.2983271954784111,I,3,simulated
cell186,0.998190479585901,0.139769932953641,0.888022246136607,I,3,simulated
cell187,0.686247082659975,0.517749925376847,0.499607671600844,I,3,simulated
cell188,0.856556572718546,0.673643673378478,0.4023385716775829,C,1,simulated
cell189,0.674926905892789,0.433310595505622,0.5795547852196958,C,1,simulated
cell190,0.193584720371291,0.4943876376561,0.5480464293407279,C,1,simulated
cell191,0.777961995685473,0.5105181397021,0.5260969690650734,C,1,simulated
cell192,0.623183035058901,0.530756246785189,0.4771770993447717,C,1,simulated
cell193,0.908813117770478,0.686599359029769,0.4117189701474653,C,1,simulated
cell194,0.636052830377594,0.444124542825075,0.5639469614159183,C,1,simulated
cell195,0.612267503049225,0.496277786983116,0.5098994367138077,C,1,simulated
cell196,0.732683945912868,0.598951338557652,0.4318114242877784,C,1,simulated
cell197,0.30904827429913,0.468210331578192,0.5482612214387783,C,1,simulated
cell198,0.0348332037683576,0.409461895469576,0.6633767033798508,G,2,simulated
cell199,0.902916644932702,0.565443118171221,0.5135311256144031,C,1,simulated
cell200,0.355430755531415,0.433485732615038,0.5753887555304359,C,1,simulated
cell201,0.191348967375234,0.661006069974974,0.3964877975692003,G,2,simulated
cell202,0.796115287346765,0.556025077525716,0.48879918903359,C,1,simulated
cell203,0.991519900271669,0.673691028957432,0.4573973328035862,C,1,simulated
cell204,0.955820479663089,0.599568276666105,0.503575076311513,I,3,simulated
cell205,0.681038181530312,0.466056743311946,0.5487334384463229,C,1,simulated
cell206,0.452127365861088,0.989108063280582,0.0131535805862105,G,2,simulated
cell207,0.289585855323821,0.0786890906747431,0.9246470924162308,G,2,simulated
cell208,0.0450531146489084,0.686058188288569,0.4315895193347075,C,1,simulated
cell209,0.361026513623074,0.554506561999495,0.4560000516766141,C,1,simulated
cell210,0.459749833215028,0.060089017264545,0.9400081740484488,I,3,simulated
cell211,0.865320366807282,0.611571350284829,0.4604380341471609,C,1,simulated
cell212,0.274075388442725,0.565871094897295,0.4616094004551058,C,1,simulated
cell213,0.460245917551219,0.543364313602551,0.4574930573557186,C,1,simulated
cell214,0.846634769113734,0.662291511682581,0.4087504679348754,C,1,simulated
cell215,0.648666127352044,0.468036092352122,0.5420845790923463,I,3,simulated
cell216,0.723498867591843,0.162268893560395,0.8454510938085438,G,2,simulated
cell217,0.183739605825394,0.85572654963471,0.2220813674659829,G,2,simulated
cell218,0.419899144209921,0.121136029716581,0.8796362418609438,I,3,simulated
cell219,0.221740602748469,0.0412319703027606,0.9617311234512448,I,3,simulated
cell220,0.739428892266005,0.4573620841895,0.5674352091251613,C,1,simulated
cell221,0.926286684349179,0.429456062382087,0.6365840132867313,J,3,simulated
