Cell_ID,x,y,Ground_Truth,Cell_Type,Lineage,Sample
cell1,-0.4,0.933977399021387,0.4,A,1,simulated
cell2,0.4,-0.970185650046915,0.4,A,1,simulated
cell3,-0.405309734513274,-0.829752440564334,0.405309734513274,A,1,simulated
cell4,0.0,-0.0234748823568225,0.0,D,2,simulated
cell5,0.405357142857143,-0.981907290406525,0.405357142857143,A,1,simulated
cell6,0.0017699115044247,0.828133158385754,0.0017699115044247,D,2,simulated
cell7,0.0035398230088495,-0.380579237360507,0.0035398230088495,D,2,simulated
cell8,0.0053097345132743,0.388845009263605,0.0053097345132743,D,2,simulated
cell9,-0.410619469026549,-0.0602637687698007,0.410619469026549,A,1,simulated
cell10,0.410714285714286,0.574977160431445,0.410714285714286,A,1,simulated
cell11,-0.0070796460176991,-0.858268935233355,0.0070796460176991,D,2,simulated
cell12,-0.415929203539823,0.243689857888967,0.415929203539823,A,1,simulated
cell13,0.416071428571429,0.02321059955284,0.416071428571429,A,1,simulated
cell14,-0.0088495575221239,-0.732180797029287,0.0088495575221239,D,2,simulated
cell15,0.0106194690265487,0.45088412007317,0.0106194690265487,D,2,simulated
cell16,0.0123893805309735,-0.952255538664758,0.0123893805309735,D,2,simulated
cell17,-0.421238938053097,0.0062588839791715,0.421238938053097,A,1,simulated
cell18,-0.0141592920353982,-0.855986015871167,0.0141592920353982,D,2,simulated
cell19,0.421428571428571,0.329488487448543,0.421428571428571,A,1,simulated
cell20,0.015929203539823,0.540014020167291,0.015929203539823,D,2,simulated
cell21,-0.0176991150442478,0.655546059831977,0.0176991150442478,D,2,simulated
cell22,-0.426548672566372,-0.427429322618991,0.426548672566372,A,1,simulated
cell23,0.0194690265486726,-0.891078937333077,0.0194690265486726,D,2,simulated
cell24,0.426785714285714,-0.997679187450558,0.426785714285714,A,1,simulated
cell25,-0.431858407079646,-0.345699777826667,0.431858407079646,A,1,simulated
cell26,0.432142857142857,-0.544234668835998,0.432142857142857,A,1,simulated
cell27,0.0212389380530973,-0.33588584093377,0.0212389380530973,D,2,simulated
cell28,-0.43716814159292,0.604058654047549,0.43716814159292,A,1,simulated
cell29,0.4375,0.545214077923447,0.4375,A,1,simulated
cell30,-0.442477876106195,0.37180335028097,0.442477876106195,A,1,simulated
cell31,0.442857142857143,0.897193426266313,0.442857142857143,A,1,simulated
cell32,0.0230088495575221,-0.0822584335692227,0.0230088495575221,D,2,simulated
cell33,0.0247787610619469,0.354276157915592,0.0247787610619469,D,2,simulated
cell34,-0.447787610619469,0.769686024170369,0.447787610619469,A,1,simulated
cell35,-0.0265486725663717,-0.266533984802663,0.0265486725663717,D,2,simulated
cell36,-0.0283185840707965,0.486220804508775,0.0283185840707965,D,2,simulated
cell37,0.448214285714286,-0.0452259313315153,0.448214285714286,A,1,simulated
cell38,-0.453097345132743,0.213565186597407,0.453097345132743,A,1,simulated
cell39,-0.0300884955752212,0.437793652061373,0.0300884955752212,D,2,simulated
cell40,-0.031858407079646,0.639601970557123,0.031858407079646,D,2,simulated
cell41,-0.0336283185840708,0.697116093710065,0.0336283185840708,D,2,simulated
cell42,0.453571428571429,-0.149115931242704,0.453571428571429,A,1,simulated
cell43,-0.0353982300884956,0.266112012322992,0.0353982300884956,D,2,simulated
cell44,-0.458407079646018,-0.705281618051231,0.458407079646018,A,1,simulated
cell45,0.458928571428571,0.20630834531039,0.458928571428571,A,1,simulated
cell46,-0.463716814159292,0.0768448375165462,0.463716814159292,A,1,simulated
cell47,0.464285714285714,-0.800550383515656,0.464285714285714,A,1,simulated
cell48,-0.0371681415929204,-0.0814768201671541,0.0371681415929204,D,2,simulated
cell49,-0.0389380530973451,0.228360589127988,0.0389380530973451,D,2,simulated
cell50,0.0407079646017699,-0.184221441391855,0.0407079646017699,D,2,simulated
cell51,0.0424778761061947,-0.206557868048549,0.0424778761061947,D,2,simulated
cell52,-0.469026548672566,-0.909923317376524,0.469026548672566,A,1,simulated
cell53,0.469642857142857,-0.0494578657671809,0.469642857142857,A,1,simulated
cell54,-0.474336283185841,-0.0216418039053679,0.474336283185841,A,1,simulated
cell55,-0.0442477876106195,-0.954286192078143,0.0442477876106195,D,2,simulated
