run_name,Method,Params,n_neighbors,hidden_feats,k,n_gcn_layers,correlation,moran_I
simulated_data_base,ONTraC,base,50,4,6,2,0.9918397817908206,0.9828081810425318
simulated_data_n_neighbors_10,ONTraC,n_neighbors,10,4,6,2,0.9882818982115896,0.9783871340783754
simulated_data_n_neighbors_20,ONTraC,n_neighbors,20,4,6,2,0.994598386565977,0.978973189962255
simulated_data_n_neighbors_100,ONTraC,n_neighbors,100,4,6,2,0.9907944127391793,0.9834584506522119
simulated_data_hidden_feats_2,ONTraC,hidden_feats,50,2,6,2,0.9945715062132271,0.9863260913938126
simulated_data_hidden_feats_8,ONTraC,hidden_feats,50,8,6,2,0.9918055877564214,0.9827677755559173
simulated_data_hidden_feats_16,ONTraC,hidden_feats,50,16,6,2,0.9951467691176498,0.9825290575624243
simulated_data_k_4,ONTraC,k,50,4,4,2,0.9934627474235239,0.9851666173577655
simulated_data_k_8,ONTraC,k,50,4,8,2,0.9906067685504091,0.9820727901850563
simulated_data_k_10,ONTraC,k,50,4,10,2,0.9934099473704072,0.9827786070238375
simulated_data_n_gcn_layers_1,ONTraC,n_gcn_layers,50,4,6,1,0.9925755385309919,0.9828497761527971
simulated_data_n_gcn_layers_3,ONTraC,n_gcn_layers,50,4,6,3,0.9928150673458563,0.9826182277454183
simulated_data_n_gcn_layers_4,ONTraC,n_gcn_layers,50,4,6,4,0.9895754935129466,0.9832279518003086
simulated_data_n_gcn_layers_5,ONTraC,n_gcn_layers,50,4,6,5,0.9862663101839081,0.9836101825623909
simulated_data_n_gcn_layers_6,ONTraC,n_gcn_layers,50,4,6,6,0.9926042785599044,0.9829454458774654
