Cell_ID,x,y,Ground_Truth,Cell_Type,Lineage
cell1,0.815010258695111,0.392859043553472,0.815010258695111,I,3
cell2,0.0078316248055777,0.528164668940008,0.0078316248055777,A,1
cell3,0.238569948123768,0.280569034861401,0.238569948123768,I,3
cell4,0.954609492095187,0.95035290485248,0.954609492095187,G,2
cell5,0.008683761416247,0.0463086145464331,0.008683761416247,A,1
cell6,0.624925804324448,0.0762059569824487,0.624925804324448,I,3
cell7,0.008683761416247,0.173745593987405,0.008683761416247,A,1
cell8,0.919193496461958,0.808935232460499,0.919193496461958,I,3
cell9,0.0127637398054713,0.892089560627937,0.0127637398054713,A,1
cell10,0.0229080371019135,0.151300676632673,0.0229080371019135,A,1
cell11,0.0230840346012312,0.245143830543384,0.0230840346012312,A,1
cell12,0.0252263300139375,0.244028016226366,0.0252263300139375,A,1
cell13,0.857092486228794,0.310498263919726,0.857092486228794,G,2
cell14,0.0252263300139375,0.693760101916268,0.0252263300139375,A,1
cell15,0.027312753878428,0.24806439387612,0.027312753878428,A,1
cell16,0.744951674016193,0.805044861044735,0.744951674016193,G,2
cell17,0.251343604410067,0.854509772267193,0.251343604410067,I,3
cell18,0.0275504850734352,0.893851178931072,0.0275504850734352,A,1
cell19,0.314896464347839,0.634688630932942,0.314896464347839,I,3
cell20,0.305631507653743,0.273204972036183,0.305631507653743,I,3
cell21,0.425124964211136,0.765232294099405,0.425124964211136,I,3
cell22,0.0936350047729071,0.0247271943371743,0.0936350047729071,A,1
cell23,0.0945060726827041,0.0374005446210504,0.0945060726827041,A,1
cell24,0.66321287676692,0.135641129454598,0.66321287676692,G,2
cell25,0.478069452103227,0.387112556025386,0.478069452103227,G,2
cell26,0.921737344004214,0.690231637796387,0.921737344004214,I,3
cell27,0.634575755568221,0.0678247381001711,0.634575755568221,I,3
cell28,0.762115503894165,0.488037311471999,0.762115503894165,G,2
cell29,0.19930838723667,0.0983505821786821,0.19930838723667,I,3
cell30,0.995694010285661,0.442879141308367,0.995694010285661,I,3
cell31,0.872612304519862,0.773890191689134,0.872612304519862,I,3
cell32,0.0951766399370943,0.241676029050723,0.0951766399370943,A,1
cell33,0.0952288088913797,0.771787605015561,0.0952288088913797,A,1
cell34,0.640955341979861,0.1939007404726,0.640955341979861,I,3
cell35,0.134110800028126,0.15137524320744,0.134110800028126,A,1
cell36,0.134346119721458,0.869593299925327,0.134346119721458,A,1
cell37,0.134354257842028,0.948457557475194,0.134354257842028,A,1
cell38,0.134495891380307,0.0056361574679613,0.134495891380307,A,1
cell39,0.134592468565495,0.746173522435129,0.134592468565495,A,1
cell40,0.578279190696776,0.455937838647515,0.578279190696776,I,3
cell41,0.163503677959443,0.344169889343902,0.163503677959443,A,1
cell42,0.164291685644118,0.850955013884231,0.164291685644118,A,1
cell43,0.0099592078477144,0.442326567601413,0.0099592078477144,G,2
cell44,0.603024441516027,0.800021018600091,0.603024441516027,G,2
cell45,0.165201311376878,0.615853938274086,0.165201311376878,A,1
cell46,0.235653676558286,0.605630723759532,0.235653676558286,I,3
cell47,0.552613891661167,0.455175610026345,0.552613891661167,G,2
cell48,0.63712935289368,0.910379960434511,0.63712935289368,I,3
cell49,0.117803256260231,0.663078390993178,0.117803256260231,G,2
cell50,0.388453935272992,0.4184087254107,0.388453935272992,G,2
cell51,0.16527208532472,0.737320101587102,0.16527208532472,A,1
cell52,0.189759823331945,0.233268364099786,0.189759823331945,A,1
cell53,0.189992265989707,0.239474608795717,0.189992265989707,A,1
cell54,0.190120412414011,0.0282290386967361,0.190120412414011,A,1
cell55,0.0866123205050826,0.911517536034808,0.0866123205050826,I,3
cell56,0.190314126732483,0.799254839774221,0.190314126732483,A,1
cell57,0.191677793168474,0.292487493949011,0.191677793168474,A,1
cell58,0.208754795605936,0.145407028729096,0.208754795605936,A,1
cell59,0.211286053253671,0.735296154627576,0.211286053253671,A,1
cell60,0.21207591462096,0.383624700363725,0.21207591462096,A,1
cell61,0.213099611487367,0.758444598643109,0.213099611487367,A,1
cell62,0.230321241734953,0.215273382142186,0.230321241734953,A,1
cell63,0.232280873001061,0.933094849810004,0.232280873001061,A,1
cell64,0.232779441852927,0.0673995858523995,0.232779441852927,A,1
cell65,0.23291431882818,0.169519202318043,0.23291431882818,A,1
cell66,0.23300381243645,0.255059369606897,0.23300381243645,A,1
cell67,0.233272639428431,0.0778493285179138,0.233272639428431,A,1
cell68,0.071612810017541,0.905841639032587,0.071612810017541,G,2
cell69,0.233528904353241,0.88016660977155,0.233528904353241,A,1
cell70,0.341779106296599,0.531898324145004,0.341779106296599,I,3
cell71,0.179597315145656,0.99749533389695,0.179597315145656,I,3
cell72,0.249609352512695,0.873868938768283,0.249609352512695,A,1
cell73,0.249688494135817,0.754536105552688,0.249688494135817,A,1
cell74,0.991957986028865,0.734091997612268,0.991957986028865,G,2
cell75,0.813096869038418,0.664650646969676,0.813096869038418,G,2
cell76,0.249975308997468,0.291744790505618,0.249975308997468,A,1
cell77,0.251952461634462,0.989836532855406,0.251952461634462,A,1
cell78,0.252155737494922,0.113142307149246,0.252155737494922,A,1
cell79,0.252294105824193,0.879287756513804,0.252294105824193,A,1
cell80,0.252777395512606,0.642804541159421,0.252777395512606,A,1
cell81,0.252958455710147,0.77828905498609,0.252958455710147,A,1
cell82,0.308387299766764,0.406979066086933,0.308387299766764,G,2
cell83,0.240704938070849,0.906018853653222,0.240704938070849,I,3
cell84,0.529377342667431,0.125081503530964,0.529377342667431,I,3
cell85,0.26547846635363,0.81209777505137,0.26547846635363,A,1
cell86,0.345993464579806,0.82352017913945,0.345993464579806,G,2
cell87,0.2670531079847,0.832286142278463,0.2670531079847,A,1
cell88,0.09015225735493,0.15983573324047,0.09015225735493,I,3
cell89,0.268564422220823,0.407362623838708,0.268564422220823,A,1
cell90,0.268956273516203,0.715779834194109,0.268956273516203,A,1
cell91,0.269254779452618,0.559524345677346,0.269254779452618,A,1
cell92,0.269909685984992,0.324377667857334,0.269909685984992,B,1
cell93,0.282918193924711,0.635004508076236,0.282918193924711,B,1
cell94,0.284335147960981,0.315110452473164,0.284335147960981,B,1
cell95,0.284509323231589,0.716437020571902,0.284509323231589,B,1
cell96,0.28498880954942,0.967806326458231,0.28498880954942,B,1
cell97,0.285430298281434,0.125971193891019,0.285430298281434,B,1
cell98,0.78478349884972,0.864035336999223,0.78478349884972,I,3
cell99,0.482440172461793,0.120876383502036,0.482440172461793,I,3
cell100,0.285440461456576,0.0712007672991604,0.285440461456576,B,1
cell101,0.685862688114867,0.159030277980492,0.685862688114867,I,3
cell102,0.285473976018702,0.981792515143752,0.285473976018702,B,1
cell103,0.681478427024558,0.880565277067944,0.681478427024558,G,2
cell104,0.285516289808332,0.799495916813612,0.285516289808332,B,1
cell105,0.0486186612397432,0.488943769363686,0.0486186612397432,I,3
cell106,0.285581314227789,0.146764080971479,0.285581314227789,B,1
cell107,0.285612378504381,0.380191630218178,0.285612378504381,B,1
cell108,0.746657607145607,0.0617739965673536,0.746657607145607,G,2
cell109,0.286067770036518,0.919165543979034,0.286067770036518,B,1
cell110,0.299347331238323,0.951100354781374,0.299347331238323,B,1
cell111,0.300172523783226,0.853439951548353,0.300172523783226,B,1
cell112,0.312160044852844,0.0110829565674067,0.312160044852844,B,1
cell113,0.312663535247197,0.689230013638735,0.312663535247197,B,1
cell114,0.307413571048528,0.847705453634262,0.307413571048528,I,3
cell115,0.207818135153502,0.748631943482906,0.207818135153502,G,2
cell116,0.313741012062599,0.896457179682329,0.313741012062599,B,1
cell117,0.155640518525615,0.048372624674812,0.155640518525615,I,3
cell118,0.31381529202741,0.553829281125218,0.31381529202741,B,1
cell119,0.31389688537961,0.941538864281029,0.31389688537961,B,1
cell120,0.629538574721664,0.026781601132825,0.629538574721664,I,3
cell121,0.082095842808485,0.274116379441693,0.082095842808485,G,2
cell122,0.313938730738397,0.247295823413879,0.313938730738397,B,1
cell123,0.313969537801586,0.31835913611576,0.313969537801586,B,1
cell124,0.314039442781019,0.153308077016845,0.314039442781019,B,1
cell125,0.314152813591994,0.0136083131656051,0.314152813591994,B,1
cell126,0.0557454046793282,0.0217690474819392,0.0557454046793282,I,3
cell127,0.314313940628029,0.492712964303792,0.314313940628029,B,1
cell128,0.315283668363902,0.0907586356624961,0.315283668363902,B,1
cell129,0.826681564794853,0.22764960792847,0.826681564794853,I,3
cell130,0.315567939241311,0.368722529849038,0.315567939241311,B,1
cell131,0.31627948287693,0.431404176866636,0.31627948287693,B,1
cell132,0.0714512122794986,0.11400497960858,0.0714512122794986,I,3
cell133,0.327193098133262,0.335922902915627,0.327193098133262,B,1
cell134,0.918395780492574,0.42979351291433,0.918395780492574,G,2
cell135,0.327475341444037,0.573152205441147,0.327475341444037,B,1
cell136,0.328392750961009,0.569885053206235,0.328392750961009,B,1
cell137,0.328450890840028,0.914374213200063,0.328450890840028,B,1
cell138,0.570848573930562,0.240112580591813,0.570848573930562,G,2
cell139,0.328723442317542,0.444463138002902,0.328723442317542,B,1
cell140,0.328778097571182,0.892847610870376,0.328778097571182,B,1
cell141,0.330611254303464,0.845529762329534,0.330611254303464,B,1
cell142,0.330995634005462,0.218083725078031,0.330995634005462,B,1
cell143,0.0183610785752535,0.682886575814337,0.0183610785752535,G,2
cell144,0.977215400431305,0.606344871688634,0.977215400431305,I,3
cell145,0.33980636711444,0.112720163073391,0.33980636711444,B,1
cell146,0.340441605127279,0.925044057192281,0.340441605127279,B,1
cell147,0.341167480460143,0.656126707792282,0.341167480460143,B,1
cell148,0.34123737412274,0.585998789174482,0.34123737412274,B,1
cell149,0.341745510395448,0.118190679466352,0.341745510395448,B,1
cell150,0.560364900389686,0.616840772796422,0.560364900389686,G,2
cell151,0.342662156558128,0.977673195302486,0.342662156558128,B,1
cell152,0.398678059224039,0.283798775402829,0.398678059224039,I,3
cell153,0.342729052275744,0.973192256176844,0.342729052275744,B,1
cell154,0.305401329183951,0.410971380770206,0.305401329183951,I,3
cell155,0.887614761246368,0.484869486652315,0.887614761246368,G,2
cell156,0.725521337473765,0.109652880812064,0.725521337473765,I,3
cell157,0.343696511115522,0.73371907393448,0.343696511115522,B,1
cell158,0.352808939675122,0.522320846095681,0.352808939675122,B,1
cell159,0.354489698286492,0.623003524029627,0.354489698286492,B,1
cell160,0.354583244653835,0.328855131752789,0.354583244653835,B,1
cell161,0.355065611547961,0.357356798835099,0.355065611547961,B,1
cell162,0.171684049069881,0.494585969718173,0.171684049069881,G,2
cell163,0.355126318179694,0.418145259842277,0.355126318179694,B,1
cell164,0.498688567895442,0.419866508804262,0.498688567895442,G,2
cell165,0.355360253780278,0.284801801666617,0.355360253780278,B,1
cell166,0.908514512004331,0.586650260724127,0.908514512004331,I,3
cell167,0.355426935943285,0.655657620402053,0.355426935943285,B,1
cell168,0.728702381718904,0.698919033864513,0.728702381718904,I,3
cell169,0.356209219840441,0.619095283094794,0.356209219840441,B,1
cell170,0.939811823191121,0.0557870743796229,0.939811823191121,G,2
cell171,0.356751249872269,0.469089565100148,0.356751249872269,B,1
cell172,0.225001096026972,0.372667405521497,0.225001096026972,I,3
cell173,0.900880308123305,0.107574411435053,0.900880308123305,I,3
cell174,0.245872469386086,0.0824495358392596,0.245872469386086,I,3
cell175,0.364820423906742,0.349721561186016,0.364820423906742,C,1
cell176,0.365291129648235,0.0674688685685396,0.365291129648235,C,1
cell177,0.365631821355711,0.765322864055634,0.365631821355711,C,1
cell178,0.366424089838867,0.64558092947118,0.366424089838867,C,1
cell179,0.6814809453208,0.487108222441748,0.6814809453208,I,3
cell180,0.366775561034791,0.154616999439895,0.366775561034791,C,1
cell181,0.366917847530094,0.57145505445078,0.366917847530094,C,1
cell182,0.899368720361963,0.992650161264464,0.899368720361963,G,2
cell183,0.368374305469983,0.199157630791888,0.368374305469983,C,1
cell184,0.033604726428166,0.608502174960449,0.033604726428166,I,3
cell185,0.85931888059713,0.17350369784981,0.85931888059713,I,3
cell186,0.522095655556768,0.552160424180329,0.522095655556768,I,3
cell187,0.490734958555549,0.60043640458025,0.490734958555549,I,3
cell188,0.368958860825362,0.833279960555956,0.368958860825362,C,1
cell189,0.369208344991395,0.479833448771387,0.369208344991395,C,1
cell190,0.375773852451915,0.137064805952832,0.375773852451915,C,1
cell191,0.376827635437408,0.0355322158429772,0.376827635437408,C,1
cell192,0.379022175656531,0.486420052824542,0.379022175656531,C,1
cell193,0.379075403749803,0.83587328903377,0.379075403749803,C,1
cell194,0.380058141989583,0.332645167596638,0.380058141989583,C,1
cell195,0.380545030904469,0.0558743795845658,0.380545030904469,C,1
cell196,0.381213427410049,0.0844447782728821,0.381213427410049,C,1
cell197,0.381573397329329,0.348198223859072,0.381573397329329,C,1
cell198,0.419770782580599,0.833958378061652,0.419770782580599,G,2
cell199,0.387322401515712,0.0392846579197794,0.387322401515712,C,1
cell200,0.3881350481526,0.0994441213551909,0.3881350481526,C,1
cell201,0.971646916354075,0.34543422749266,0.971646916354075,G,2
cell202,0.391261577836704,0.388581334147602,0.391261577836704,C,1
cell203,0.391314428380011,0.339532346231863,0.391314428380011,C,1
cell204,0.906971826450899,0.587782452814281,0.906971826450899,I,3
cell205,0.391750424293732,0.208664286881685,0.391750424293732,C,1
cell206,0.251971895806491,0.90683219418861,0.251971895806491,G,2
cell207,0.158460317412391,0.748482421971858,0.158460317412391,G,2
cell208,0.392069134695215,0.0782783452887088,0.392069134695215,C,1
cell209,0.393256079495628,0.797522589098662,0.393256079495628,C,1
cell210,0.336175993084908,0.98738699266687,0.336175993084908,I,3
cell211,0.399567604510488,0.729888746514916,0.399567604510488,C,1
cell212,0.400161116414698,0.282617098418996,0.400161116414698,C,1
cell213,0.400772852876014,0.252211417071521,0.400772852876014,C,1
cell214,0.40132533714356,0.237560719484463,0.40132533714356,C,1
cell215,0.938032197300345,0.91876454022713,0.938032197300345,I,3
cell216,0.811281833099201,0.508215546840802,0.811281833099201,G,2
cell217,0.562310289591551,0.288837556261569,0.562310289591551,G,2
cell218,0.471965713892132,0.196557606570423,0.471965713892132,I,3
cell219,0.235597886843607,0.970163779100403,0.235597886843607,I,3
cell220,0.401507462630755,0.996267099864781,0.401507462630755,C,1
cell221,0.298051936319098,0.118899609195068,0.298051936319098,J,3
cell222,0.298605358228087,0.557220276910812,0.298605358228087,J,3
cell223,0.402378568650848,0.544556053588167,0.402378568650848,C,1
cell224,0.511417807778344,0.460456941276789,0.511417807778344,G,2
cell225,0.402711681153574,0.134769200114533,0.402711681153574,C,1
cell226,0.404525838126104,0.863107356242836,0.404525838126104,C,1
cell227,0.189817970385775,0.1507795129437,0.189817970385775,G,2
cell228,0.404739433144745,0.235302309505641,0.404739433144745,C,1
cell229,0.404845514630847,0.164786614710465,0.404845514630847,C,1
cell230,0.405957213964632,0.26305721141398,0.405957213964632,C,1
cell231,0.410839876450737,0.0890101932454854,0.410839876450737,C,1
cell232,0.412601852429847,0.207092472584918,0.412601852429847,C,1
cell233,0.413224265593454,0.291669654659927,0.413224265593454,C,1
cell234,0.0159224728122354,0.49946240731515,0.0159224728122354,G,2
cell235,0.416060414335673,0.582965211477131,0.416060414335673,C,1
cell236,0.432142257595644,0.61318875476718,0.432142257595644,C,1
cell237,0.433397235812782,0.871949991211295,0.433397235812782,C,1
cell238,0.433673485834923,0.114718872355297,0.433673485834923,C,1
cell239,0.437310373626723,0.766852418426424,0.437310373626723,C,1
cell240,0.445503060131419,0.970456956187263,0.445503060131419,C,1
cell241,0.64352366910316,0.276783622568473,0.64352366910316,J,3
cell242,0.445829285249953,0.139018577290699,0.445829285249953,C,1
cell243,0.452798701970958,0.808621295494959,0.452798701970958,C,1
cell244,0.452965080691638,0.316874583717436,0.452965080691638,C,1
cell245,0.466837536327459,0.436947080306709,0.466837536327459,C,1
cell246,0.506608194671571,0.819726173300296,0.506608194671571,G,2
cell247,0.471333978268866,0.146600883686915,0.471333978268866,C,1
cell248,0.473686065039431,0.0278938424307853,0.473686065039431,C,1
cell249,0.123059145873412,0.896641531493515,0.123059145873412,J,3
cell250,0.473686240277692,0.122531856875867,0.473686240277692,C,1
cell251,0.55699704401195,0.764776850119233,0.55699704401195,J,3
cell252,0.481106931797143,0.604180752066895,0.481106931797143,C,1
cell253,0.58656652411446,0.591609326656908,0.58656652411446,G,2
cell254,0.293000911129639,0.0805927561596036,0.293000911129639,G,2
cell255,0.482777244997599,0.823823997983709,0.482777244997599,D,1
cell256,0.484035772860285,0.210182938491926,0.484035772860285,D,1
cell257,0.484746089284779,0.0141315939836204,0.484746089284779,D,1
cell258,0.485588961529801,0.312002431368455,0.485588961529801,D,1
cell259,0.488986767069314,0.893206775654107,0.488986767069314,D,1
cell260,0.615741453832015,0.502088561886922,0.615741453832015,J,3
cell261,0.489880186517232,0.126013937406242,0.489880186517232,D,1
cell262,0.792413878487423,0.132778044324368,0.792413878487423,G,2
cell263,0.491542986433063,0.830100482329726,0.491542986433063,D,1
cell264,0.492341421278208,0.146048496244475,0.492341421278208,D,1
cell265,0.492539317720673,0.0611811522394419,0.492539317720673,D,1
cell266,0.502187523513705,0.554898847825825,0.502187523513705,D,1
cell267,0.50262405605088,0.322324949782342,0.50262405605088,D,1
cell268,0.502664898081507,0.0299156629480422,0.502664898081507,D,1
cell269,0.503150815538348,0.914952797349542,0.503150815538348,D,1
cell270,0.503365508887988,0.439939900767058,0.503365508887988,D,1
cell271,0.504579794615997,0.561012813588604,0.504579794615997,D,1
cell272,0.30975672439672,0.310399162117392,0.30975672439672,G,2
cell273,0.858109697932377,0.221178226172924,0.858109697932377,J,3
cell274,0.0792712857946754,0.623731249943376,0.0792712857946754,J,3
cell275,0.506413690872493,0.103950344957411,0.506413690872493,D,1
cell276,0.506822397019444,0.201519476482645,0.506822397019444,D,1
cell277,0.507528315991238,0.10178588447161,0.507528315991238,D,1
cell278,0.507961600801816,0.426466074073687,0.507961600801816,D,1
cell279,0.508981745294929,0.400532814441249,0.508981745294929,D,1
cell280,0.509461254640588,0.966940692160279,0.509461254640588,D,1
cell281,0.547883162507787,0.171645655063912,0.547883162507787,G,2
cell282,0.510295333441359,0.408107797382399,0.510295333441359,D,1
cell283,0.51037742813821,0.278762152185664,0.51037742813821,D,1
cell284,0.51223379789128,0.586907723452896,0.51223379789128,D,1
cell285,0.0527927700895816,0.476053554797545,0.0527927700895816,H,2
cell286,0.707667654613033,0.962038006866351,0.707667654613033,H,2
cell287,0.513297321290325,0.646900492953137,0.513297321290325,D,1
cell288,0.474827573634684,0.394013863522559,0.474827573634684,H,2
