Cell_ID,x,y,Cell_Type,Sample
cell1,-0.4,0.933977399021387,A,simulated
cell2,0.4,-0.970185650046915,A,simulated
cell3,-0.405309734513274,-0.829752440564334,A,simulated
cell4,0.0,-0.0234748823568225,D,simulated
cell5,0.405357142857143,-0.981907290406525,A,simulated
cell6,0.0017699115044247,0.828133158385754,D,simulated
cell7,0.0035398230088495,-0.380579237360507,D,simulated
cell8,0.0053097345132743,0.388845009263605,D,simulated
cell9,-0.410619469026549,-0.0602637687698007,A,simulated
cell10,0.410714285714286,0.574977160431445,A,simulated
cell11,-0.0070796460176991,-0.858268935233355,D,simulated
cell12,-0.415929203539823,0.243689857888967,A,simulated
cell13,0.416071428571429,0.02321059955284,A,simulated
cell14,-0.0088495575221239,-0.732180797029287,D,simulated
cell15,0.0106194690265487,0.45088412007317,D,simulated
cell16,0.0123893805309735,-0.952255538664758,D,simulated
cell17,-0.421238938053097,0.0062588839791715,A,simulated
cell18,-0.0141592920353982,-0.855986015871167,D,simulated
cell19,0.421428571428571,0.329488487448543,A,simulated
cell20,0.015929203539823,0.540014020167291,D,simulated
cell21,-0.0176991150442478,0.655546059831977,D,simulated
cell22,-0.426548672566372,-0.427429322618991,A,simulated
cell23,0.0194690265486726,-0.891078937333077,D,simulated
cell24,0.426785714285714,-0.997679187450558,A,simulated
cell25,-0.431858407079646,-0.345699777826667,A,simulated
cell26,0.432142857142857,-0.544234668835998,A,simulated
cell27,0.0212389380530973,-0.33588584093377,D,simulated
cell28,-0.43716814159292,0.604058654047549,A,simulated
cell29,0.4375,0.545214077923447,A,simulated
cell30,-0.442477876106195,0.37180335028097,A,simulated
cell31,0.442857142857143,0.897193426266313,A,simulated
cell32,0.0230088495575221,-0.0822584335692227,D,simulated
cell33,0.0247787610619469,0.354276157915592,D,simulated
cell34,-0.447787610619469,0.769686024170369,A,simulated
cell35,-0.0265486725663717,-0.266533984802663,D,simulated
cell36,-0.0283185840707965,0.486220804508775,D,simulated
cell37,0.448214285714286,-0.0452259313315153,A,simulated
cell38,-0.453097345132743,0.213565186597407,A,simulated
cell39,-0.0300884955752212,0.437793652061373,D,simulated
cell40,-0.031858407079646,0.639601970557123,D,simulated
cell41,-0.0336283185840708,0.697116093710065,D,simulated
cell42,0.453571428571429,-0.149115931242704,A,simulated
cell43,-0.0353982300884956,0.266112012322992,D,simulated
cell44,-0.458407079646018,-0.705281618051231,A,simulated
cell45,0.458928571428571,0.20630834531039,A,simulated
cell46,-0.463716814159292,0.0768448375165462,A,simulated
cell47,0.464285714285714,-0.800550383515656,A,simulated
cell48,-0.0371681415929204,-0.0814768201671541,D,simulated
